,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
1,p9,1,0.0,27.290448,[56 56] ; [134  34],[76. 36.] ; [114.  54.],1
2,p10,1,1.5e-05,18.767434,[53 62] ; [121  48],[70.45774648 44.54225352] ; [103.54225352  65.45774648],1
0,p4,1,2.9e-05,17.458275,[24 94] ; [75 95],[40.5625 77.4375] ; [ 58.4375 111.5625],1
3,p11,1,0.00014,14.498526,[60 59] ; [123  47],[75.35294118 43.64705882] ; [107.64705882  62.35294118],1
