,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
1,p8,1,1.2e-05,19.197681,[258 112] ; [91 89],[234.78181818 135.21818182] ; [114.21818182  65.78181818],1
0,p5,1,7.6e-05,15.661905,[ 78 291] ; [ 14 167],[ 61.72363636 307.27636364] ; [ 30.27636364 150.72363636],1
2,p9,1,0.00085,11.128204,[335  36] ; [145  36],[322.60869565  48.39130435] ; [157.39130435  23.60869565],1
