,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
1,p8,1,3.3e-05,17.232346,[238  95] ; [74 69],[218.26890756 114.73109244] ; [93.73109244 49.26890756],1
0,p5,1,0.000584,11.825405,[ 74 258] ; [ 13 131],[ 60.68067227 271.31932773] ; [ 26.31932773 117.68067227],1
