,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
18,p9,1,0.0,194.419189,[32 75] ; [431  46],[84.83047945 22.16952055] ; [378.16952055  98.83047945],1
14,p2,1,0.0,66.665447,[59 52] ; [418  62],[89.58883249 21.41116751] ; [387.41116751  92.58883249],1
11,n6,1,0.0,62.00695,[65 46] ; [427  51],[92.71986418 18.28013582] ; [399.28013582  78.71986418],1
8,r3,1,0.0,60.387355,[85 26] ; [468  14],[103.51264755   7.48735245] ; [449.48735245  32.51264755],1
9,r4,1,0.0,49.878199,[72 39] ; [440  45],[95.3557047 15.6442953] ; [416.6442953  68.3557047],1
5,v4,1,0.0,35.614652,[88 22] ; [461  19],[102.3559322   7.6440678] ; [446.6440678  33.3559322],1
7,r2,1,1e-06,25.048,[89 21] ; [454  24],[101.58163265   8.41836735] ; [441.41836735  36.58163265],1
17,p8,1,1e-06,24.875245,[30 79] ; [256 218],[53.47169811 55.52830189] ; [232.52830189 241.47169811],1
1,a7,1,8e-06,19.854587,[59 52] ; [360 123],[78.2979798 32.7020202] ; [340.7020202 142.2979798],1
10,n5,1,2.5e-05,17.758248,[61 50] ; [358 119],[79.09693878 31.90306122] ; [339.90306122 137.09693878],1
0,a6,1,6.3e-05,16.000455,[55 55] ; [338 145],[72.9005059 37.0994941] ; [320.0994941 162.9005059],1
4,v2,1,6.4e-05,15.986139,[41 67] ; [277 191],[59.625 48.375] ; [258.375 209.625],1
6,r1,1,8.6e-05,15.428619,[69 42] ; [385  98],[84.83838384 26.16161616] ; [369.16161616 113.83838384],1
16,p7,1,0.000186,13.962605,[48 62] ; [294 172],[65.3125 44.6875] ; [276.6875 189.3125],1
15,p4,1,0.00022,13.656266,[44 67] ; [282 196],[61.43633277 49.56366723] ; [264.56366723 213.43633277],1
12,s6,1,0.00033,12.889475,[53 55] ; [321 155],[69.16438356 38.83561644] ; [304.83561644 171.16438356],1
13,s8,1,0.000416,12.460783,[26 82] ; [204 277],[42.17317487 65.82682513] ; [187.82682513 293.17317487],1
2,d3,1,0.000443,12.34212,[58 52] ; [339 144],[73.64249578 36.35750422] ; [323.35750422 159.64249578],1
3,v1,1,0.000476,12.206963,[40 71] ; [256 214],[56.55077453 54.44922547] ; [239.44922547 230.55077453],1
