,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p7,1,5.1e-05,16.398187,[36 30] ; [12 49],[24.94488189 41.05511811] ; [23.05511811 37.94488189],1
2,p11,1,5.4e-05,16.306424,[44 22] ; [20 44],[32.49230769 33.50769231] ; [31.50769231 32.49230769],1
1,p8,1,0.000792,11.258902,[24 42] ; [ 7 56],[15.86046512 50.13953488] ; [15.13953488 47.86046512],1
