,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
1,p4,1,1.7e-05,18.49845,[112 209] ; [35 18],[126.1684492 194.8315508] ; [20.8315508 32.1684492],1
0,p3,1,0.000704,11.478522,[ 84 237] ; [26 27],[ 94.41176471 226.58823529] ; [15.58823529 37.41176471],1
