,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,r3,1,0.0,35.677879,[596  19] ; [48 12],[586.75555556  28.24444444] ; [57.24444444  2.75555556],1
1,r4,1,1e-05,19.579865,[565  53] ; [44 16],[555.10619469  62.89380531] ; [53.89380531  6.10619469],1
2,p8,1,0.00012,14.793739,[360 249] ; [20 40],[345.91928251 263.08071749] ; [34.08071749 25.91928251],1
3,p9,1,0.000246,13.440998,[586  31] ; [49 10],[579.57840237  37.42159763] ; [55.42159763  3.57840237],1
