,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p9,1,0.0,66.043365,[15 59] ; [65 10],[39.73154362 34.26845638] ; [40.26845638 34.73154362],1
1,p11,1,7.2e-05,15.755781,[28 49] ; [52 24],[40.26143791 36.73856209] ; [39.73856209 36.26143791],1
