,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
5,r3,1,0.0,60.265375,[65 39] ; [234  13],[88.59259259 15.40740741] ; [210.40740741  36.59259259],1
14,p10,1,0.0,52.266488,[38 64] ; [191  55],[67.12068966 34.87931034] ; [161.87931034  84.12068966],1
6,r4,1,0.0,50.227368,[51 54] ; [211  38],[77.71186441 27.28813559] ; [184.28813559  64.71186441],1
8,p2,1,0.0,44.139241,[49 55] ; [202  44],[74.58285714 29.41714286] ; [176.41714286  69.58285714],1
13,p9,1,0.0,43.878157,[43 56] ; [197  50],[68.67052023 30.32947977] ; [171.32947977  75.67052023],1
7,n6,1,0.0,35.736627,[51 52] ; [201  47],[73.94871795 29.05128205] ; [178.05128205  69.94871795],1
1,v2,1,0.0,25.895207,[27 74] ; [136 103],[48.42058824 52.57941176] ; [114.57941176 124.42058824],1
2,v4,1,0.0,25.721365,[74 29] ; [228  19],[88.87428571 14.12571429] ; [213.12571429  33.87428571],1
10,p4,1,2e-06,22.6439,[23 79] ; [124 123],[42.96275072 59.03724928] ; [104.03724928 142.96275072],1
3,r1,1,5e-06,21.008279,[51 52] ; [186  63],[69.34943182 33.65056818] ; [167.65056818  81.34943182],1
11,p7,1,1.1e-05,19.2693,[34 68] ; [145 100],[52.6167147 49.3832853] ; [126.3832853 118.6167147],1
12,p8,1,2.9e-05,17.474892,[25 77] ; [120 126],[42.5 59.5] ; [102.5 143.5],1
0,v1,1,0.000138,14.535562,[27 77] ; [117 127],[43.03448276 60.96551724] ; [100.96551724 143.03448276],1
4,r2,1,0.000237,13.512816,[77 23] ; [226  21],[87.31988473 12.68011527] ; [215.68011527  31.31988473],1
9,p3,1,0.000538,11.977576,[24 79] ; [106 141],[38.25714286 64.74285714] ; [ 91.74285714 155.25714286],1
