,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
1,p9,1,3e-06,22.010843,[23 44] ; [59 22],[37.12162162 29.87837838] ; [44.87837838 36.12162162],1
0,p7,1,6.1e-05,16.085637,[13 58] ; [40 41],[24.75657895 46.24342105] ; [28.24342105 52.75657895],1
2,p10,1,8e-05,15.564936,[22 47] ; [52 29],[34.04 34.96] ; [39.96 41.04],1
