,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
10,p9,1,0.0,91.23252,[107  14] ; [30 82],[71.14592275 49.85407725] ; [65.85407725 46.14592275],1
7,s8,1,1e-06,24.428265,[56 66] ; [18 95],[38.41702128 83.58297872] ; [35.58297872 77.41702128],1
4,s5,1,9e-06,19.648108,[48 66] ; [17 94],[32.93333333 81.06666667] ; [32.06666667 78.93333333],1
8,p2,1,1.5e-05,18.73628,[91 30] ; [55 60],[74.8559322 46.1440678] ; [71.1440678 43.8559322],1
3,s2,1,2e-05,18.150603,[70 52] ; [34 80],[53.76271186 68.23728814] ; [50.23728814 63.76271186],1
9,p6,1,0.000122,14.768692,[46 76] ; [17 94],[32.98712446 89.01287554] ; [30.01287554 80.98712446],1
5,s6,1,0.000151,14.358805,[81 38] ; [49 64],[66.68103448 52.31896552] ; [63.31896552 49.68103448],1
6,s7,1,0.000217,13.675188,[59 54] ; [29 76],[45.6146789 67.3853211] ; [42.3853211 62.6146789],1
2,n6,1,0.000268,13.282734,[92 28] ; [61 52],[78.79828326 41.20171674] ; [74.20171674 38.79828326],1
0,v4,1,0.000323,12.930695,[112  10] ; [84 29],[101.75319149  20.24680851] ; [94.24680851 18.75319149],1
1,r4,1,0.000341,12.828249,[99 23] ; [69 46],[86.48101266 35.51898734] ; [81.51898734 33.48101266],1
