,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
4,p8,1,0.0,113.413266,[ 68 174] ; [340 148],[135.25479452 106.74520548] ; [272.74520548 215.25479452],1
3,p6,1,0.0,83.629118,[ 36 207] ; [242 245],[ 92.53972603 150.46027397] ; [185.46027397 301.53972603],1
1,p3,1,0.0,55.712226,[ 81 162] ; [306 183],[128.47131148 114.52868852] ; [258.52868852 230.47131148],1
2,p4,1,0.0,54.393305,[108 136] ; [353 136],[153.45702592  90.54297408] ; [307.54297408 181.45702592],1
0,p2,1,0.0,40.487965,[181  63] ; [447  41],[209.33333333  34.66666667] ; [418.66666667  69.33333333],1
