,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
3,p8,1,0.0,81.318223,[ 58 121] ; [318 127],[107.85897436  71.14102564] ; [268.14102564 176.85897436],1
2,p6,1,0.0,62.3104,[ 29 151] ; [224 221],[ 72.864 107.136] ; [180.136 264.864],1
0,p3,1,0.0,43.909601,[ 62 118] ; [284 163],[99.33014354 80.66985646] ; [246.66985646 200.33014354],1
1,p4,1,0.0,35.224094,[90 91] ; [332 115],[121.62738854  59.37261146] ; [300.37261146 146.62738854],1
