,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p7,1,0.0,59.447298,[ 27 100] ; [52 14],[51.98445596 75.01554404] ; [27.01554404 38.98445596],1
1,p8,1,0.0,33.379111,[ 17 116] ; [33 32],[33.58585859 99.41414141] ; [16.41414141 48.58585859],1
2,p9,1,5e-06,20.884763,[64 62] ; [55 10],[78.5026178 47.4973822] ; [40.4973822 24.5026178],1
4,p11,1,4.4e-05,16.676478,[63 70] ; [52 15],[76.475 56.525] ; [38.525 28.475],1
3,p10,1,0.000158,14.275668,[61 69] ; [49 16],[73.33333333 56.66666667] ; [36.66666667 28.33333333],1
