,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
3,p7,1,0.0,29.221577,[28  9] ; [26 77],[14.27142857 22.72857143] ; [39.72857143 63.27142857],1
1,p4,1,7e-06,20.294267,[25 12] ; [27 77],[13.64539007 23.35460993] ; [38.35460993 65.64539007],1
2,p6,1,7e-06,20.092261,[16 19] ; [11 91],[ 6.89781022 28.10218978] ; [20.10218978 81.89781022],1
0,p3,1,0.000548,11.945942,[20 17] ; [24 79],[11.62857143 25.37142857] ; [32.37142857 70.62857143],1
