,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
2,p9,1,0.0,67.547845,[58  4] ; [28 74],[32.51219512 29.48780488] ; [53.48780488 48.51219512],1
1,r4,1,0.000348,12.795053,[55  7] ; [67 39],[45.02380952 16.97619048] ; [76.97619048 29.02380952],1
0,a7,1,0.000711,11.459038,[49 13] ; [56 50],[38.75 23.25] ; [66.25 39.75],1
