,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p4,1,6.2e-05,16.051256,[115  59] ; [53 71],[98.09395973 75.90604027] ; [69.90604027 54.09395973],1
2,p11,1,0.000241,13.481656,[152  22] ; [87 37],[139.55033557  34.44966443] ; [99.44966443 24.55033557],1
1,p10,1,0.000379,12.631343,[154  20] ; [89 34],[142.36363636  31.63636364] ; [100.63636364  22.36363636],1
