,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
1,p7,1,1.5e-05,18.675984,[93 13] ; [59 37],[79.76237624 26.23762376] ; [72.23762376 23.76237624],1
2,p8,1,0.000171,14.124803,[74 31] ; [42 53],[60.9 44.1] ; [55.1 39.9],1
0,p4,1,0.000326,12.915513,[93 13] ; [64 32],[82.38613861 23.61386139] ; [74.61386139 21.38613861],1
