,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
10,p9,1,0.0,97.734097,[451  17] ; [73 38],[423.54404145  44.45595855] ; [100.45595855  10.54404145],1
6,p2,1,0.0,34.872272,[405  63] ; [73 43],[383.05479452  84.94520548] ; [94.94520548 21.05479452],1
5,n6,1,0.0,32.800488,[414  51] ; [77 37],[394.32642487  70.67357513] ; [96.67357513 17.32642487],1
1,r3,1,1e-06,24.102869,[452  15] ; [97 17],[441.2788296  25.7211704] ; [107.7211704   6.2788296],1
0,v4,1,2e-06,22.342428,[451  14] ; [99 16],[440.94827586  24.05172414] ; [109.05172414   5.94827586],1
2,r4,1,1.5e-05,18.715398,[430  39] ; [90 26],[416.88888889  52.11111111] ; [103.11111111  12.88888889],1
8,p7,1,0.000128,14.673217,[293 162] ; [50 62],[275.24691358 179.75308642] ; [67.75308642 44.24691358],1
4,n5,1,0.000143,14.457012,[352 113] ; [66 48],[335.69948187 129.30051813] ; [82.30051813 31.69948187],1
7,p4,1,0.000151,14.35508,[279 186] ; [46 68],[261.01036269 203.98963731] ; [63.98963731 50.01036269],1
3,n4,1,0.000168,14.158668,[361 108] ; [68 46],[345.11320755 123.88679245] ; [83.88679245 30.11320755],1
9,p8,1,0.000825,11.183244,[255 207] ; [43 71],[239.02083333 222.97916667] ; [58.97916667 55.02083333],1
