,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p4,1,0.0,29.621122,[45 25] ; [ 40 113],[26.68161435 43.31838565] ; [58.31838565 94.68161435],1
1,p5,1,0.000701,11.486676,[ 8 62] ; [  2 151],[ 3.13901345 66.86098655] ; [  6.86098655 146.13901345],1
2,p7,1,0.000723,11.429975,[41 29] ; [52 99],[29.45701357 40.54298643] ; [63.54298643 87.45701357],1
