,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
10,s2,1,0.0,95.36948,[366 374] ; [ 65 286],[292.33730522 447.66269478] ; [138.66269478 212.33730522],1
11,s3,1,0.0,81.300877,[407 325] ; [ 92 257],[337.89824237 394.10175763] ; [161.10175763 187.89824237],1
15,s8,1,0.0,71.981295,[330 414] ; [ 64 290],[266.9726776 477.0273224] ; [127.0273224 226.9726776],1
14,s7,1,0.0,64.227144,[346 373] ; [ 73 258],[286.9152381 432.0847619] ; [132.0847619 198.9152381],1
24,p10,1,0.0,55.846485,[632 107] ; [229 119],[585.35326587 153.64673413] ; [275.64673413  72.35326587],1
13,s5,1,0.0,53.463087,[240 481] ; [ 42 303],[190.73358349 530.26641651] ; [ 91.26641651 253.73358349],1
23,p9,1,0.0,53.236822,[648  91] ; [240 106],[604.82211982 134.17788018] ; [283.17788018  62.82211982],1
6,r4,1,0.0,44.015844,[672  79] ; [262  92],[634.78190045 116.21809955] ; [299.21809955  54.78190045],1
5,r3,1,0.0,43.104215,[717  28] ; [299  52],[690.62043796  54.37956204] ; [325.37956204  25.62043796],1
18,p4,1,0.0,33.372677,[451 291] ; [147 202],[406.70577452 335.29422548] ; [191.29422548 157.70577452],1
9,n6,1,0.0,31.962267,[640 104] ; [252  99],[606.07123288 137.92876712] ; [285.92876712  65.07123288],1
16,p2,1,0.0,27.844335,[632 110] ; [251  99],[599.98717949 142.01282051] ; [283.01282051  66.98717949],1
2,v4,1,0.0,26.37923,[707  36] ; [302  48],[685.89844465  57.10155535] ; [323.10155535  26.89844465],1
21,p7,1,5e-06,20.768739,[479 246] ; [179 168],[445.00932836 279.99067164] ; [212.99067164 134.00932836],1
22,p8,1,1.1e-05,19.400196,[411 323] ; [145 203],[377.17560074 356.82439926] ; [178.82439926 169.17560074],1
3,r1,1,1.4e-05,18.807903,[593 154] ; [237 115],[564.15832575 182.84167425] ; [265.84167425  86.15832575],1
8,n5,1,1.9e-05,18.281341,[570 173] ; [226 125],[540.61060329 202.38939671] ; [255.38939671  95.61060329],1
20,p6,1,2.7e-05,17.614915,[271 463] ; [ 83 262],[240.81186284 493.18813716] ; [113.18813716 231.81186284],1
17,p3,1,3.7e-05,17.015065,[376 369] ; [130 220],[344.26484018 400.73515982] ; [161.73515982 188.26484018],1
1,v1,1,4.5e-05,16.655307,[397 329] ; [144 204],[365.70391061 360.29608939] ; [175.29608939 172.70391061],1
25,p12,1,0.000111,14.941805,[ 66 674] ; [  9 341],[ 50.91743119 689.08256881] ; [ 24.08256881 325.91743119],1
19,p5,1,0.000166,14.177757,[ 93 648] ; [ 18 331],[ 75.45963303 665.54036697] ; [ 35.54036697 313.45963303],1
7,n4,1,0.000196,13.868605,[589 160] ; [241 112],[564.12885662 184.87114338] ; [265.87114338  87.12885662],1
12,s4,1,0.000603,11.767939,[116 622] ; [ 29 325],[ 97.99450549 640.00549451] ; [ 47.00549451 306.99450549],1
4,r2,1,0.000626,11.696884,[692  48] ; [303  44],[677.36890524  62.63109476] ; [317.63109476  29.36890524],1
0,a5,1,0.00092,10.982006,[550 200] ; [225 129],[526.49456522 223.50543478] ; [248.50543478 105.49456522],1
