,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
14,p10,1,0.0,103.877435,[413  64] ; [122 115],[357.41596639 119.58403361] ; [177.58403361  59.41596639],1
13,p9,1,0.0,98.862144,[431  46] ; [137  97],[381.06329114  95.93670886] ; [186.93670886  47.06329114],1
9,p2,1,0.0,63.297666,[418  62] ; [149  94],[376.43153527 103.56846473] ; [190.56846473  52.43153527],1
8,n6,1,0.0,63.218696,[427  51] ; [156  85],[387.58553547  90.41446453] ; [195.41446453  45.58553547],1
4,r3,1,0.0,63.037115,[468  14] ; [192  50],[439.39226519  42.60773481] ; [220.60773481  21.39226519],1
5,r4,1,0.0,45.652101,[440  45] ; [175  70],[408.59589041  76.40410959] ; [206.40410959  38.59589041],1
12,p8,1,0.0,38.291464,[256 218] ; [ 71 169],[217.08403361 256.91596639] ; [109.91596639 130.08403361],1
2,v4,1,0.0,33.648402,[461  19] ; [203  40],[440.82987552  39.17012448] ; [223.17012448  19.82987552],1
11,p7,1,4e-06,21.127442,[294 172] ; [107 131],[265.43465909 200.56534091] ; [135.56534091 102.43465909],1
10,p4,1,1.5e-05,18.791983,[282 196] ; [101 140],[254.62308762 223.37691238] ; [128.37691238 112.62308762],1
6,n4,1,1.5e-05,18.707591,[372 111] ; [150  93],[347.28099174 135.71900826] ; [174.71900826  68.28099174],1
7,n5,1,2.9e-05,17.498827,[358 119] ; [145  97],[333.70097357 143.29902643] ; [169.29902643  72.70097357],1
1,v2,1,4.8e-05,16.535715,[277 191] ; [101 134],[251.64153627 216.35846373] ; [126.35846373 108.64153627],1
15,p12,1,0.00048,12.192835,[ 46 433] ; [  6 236],[ 34.54646325 444.45353675] ; [ 17.45353675 224.54646325],1
0,v1,1,0.000511,12.074116,[256 214] ; [ 99 144],[234.0112202 235.9887798] ; [120.9887798 122.0112202],1
3,r2,1,0.00064,11.65661,[454  24] ; [211  29],[442.71587744  35.28412256] ; [222.28412256  17.71587744],1
