,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p2,1,6e-06,20.624266,[63 25] ; [262  27],[75.86206897 12.13793103] ; [249.13793103  39.86206897],1
1,p6,1,6.9e-05,15.832629,[21 63] ; [143 146],[36.93297587 47.06702413] ; [127.06702413 161.93297587],1
2,p8,1,0.000283,13.178627,[39 48] ; [192  97],[53.44946809 33.55053191] ; [177.55053191 111.44946809],1
