,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
1,p4,1,4.2e-05,16.791988,[63 50] ; [102  25],[77.6875 35.3125] ; [87.3125 39.6875],1
0,p3,1,0.000745,11.37275,[59 54] ; [93 34],[71.56666667 41.43333333] ; [80.43333333 46.56666667],1
