,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
3,p12,1,0.0,33.723529,[  6 150] ; [24 54],[ 20. 136.] ; [10. 68.],1
0,p1,1,0.0,26.982714,[ 11 145] ; [26 52],[ 24.66666667 131.33333333] ; [12.33333333 65.66666667],1
2,p8,1,4e-06,21.264787,[83 71] ; [66 12],[98.90517241 55.09482759] ; [50.09482759 27.90517241],1
1,p6,1,7.8e-05,15.609222,[64 91] ; [53 24],[78.16810345 76.83189655] ; [38.83189655 38.16810345],1
