,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p7,1,0.0,28.06184,[251  71] ; [20 28],[235.84324324  86.15675676] ; [35.15675676 12.84324324],1
2,p9,1,3.5e-05,17.118365,[288  35] ; [33 16],[278.71774194  44.28225806] ; [42.28225806  6.71774194],1
3,p10,1,7.7e-05,15.626492,[277  45] ; [31 18],[267.32075472  54.67924528] ; [40.67924528  8.32075472],1
1,p8,1,0.000516,12.057623,[209 114] ; [19 30],[197.96774194 125.03225806] ; [30.03225806 18.96774194],1
