,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
19,p9,1,0.0,266.23982,[451  17] ; [17 49],[410.15730337  57.84269663] ; [57.84269663  8.15730337],1
8,r3,1,0.0,72.411275,[452  15] ; [47 21],[435.57570093  31.42429907] ; [63.42429907  4.57570093],1
15,p2,1,0.0,65.60632,[405  63] ; [31 37],[380.68656716  87.31343284] ; [55.31343284 12.68656716],1
5,v4,1,0.0,58.948844,[451  14] ; [49 18],[437.03007519  27.96992481] ; [62.96992481  4.03007519],1
9,r4,1,0.0,58.727625,[430  39] ; [40 28],[410.48417132  58.51582868] ; [59.51582868  8.48417132],1
10,n6,1,0.0,50.585984,[414  51] ; [38 30],[394.33395872  70.66604128] ; [57.66604128 10.33395872],1
18,p8,1,0.0,35.195012,[255 207] ; [11 56],[232.3100189 229.6899811] ; [33.6899811 33.3100189],1
7,r2,1,0.0,29.843539,[445  18] ; [53 14],[435.04528302  27.95471698] ; [62.95471698  4.04528302],1
4,v2,1,3e-06,22.005961,[272 179] ; [20 47],[254.23166023 196.76833977] ; [37.76833977 29.23166023],1
17,p7,1,5e-06,20.985816,[293 162] ; [24 44],[275.78393881 179.21606119] ; [41.21606119 26.78393881],1
6,r1,1,6e-06,20.576803,[376  91] ; [38 30],[361.37943925 105.62056075] ; [52.62056075 15.37943925],1
14,s8,1,5.7e-05,16.188619,[206 260] ; [12 54],[190.95488722 275.04511278] ; [27.04511278 38.95488722],1
3,v1,1,6e-05,16.095932,[254 204] ; [20 48],[238.57794677 219.42205323] ; [35.42205323 32.57794677],1
0,a6,1,0.000196,13.865791,[330 138] ; [32 35],[316.66542056 151.33457944] ; [45.33457944 21.66542056],1
16,p4,1,0.0003,13.070023,[279 186] ; [25 43],[265.21575985 199.78424015] ; [38.78424015 29.21575985],1
2,d3,1,0.000302,13.06035,[339 129] ; [34 33],[326.28785047 141.71214953] ; [46.71214953 20.28785047],1
1,a7,1,0.000342,12.827435,[358 111] ; [38 30],[345.8547486 123.1452514] ; [50.1452514 17.8547486],1
13,s6,1,0.000634,11.673576,[321 140] ; [32 34],[308.79127135 152.20872865] ; [44.20872865 21.79127135],1
12,s5,1,0.000824,11.186147,[162 289] ; [10 56],[150.04255319 300.95744681] ; [21.95744681 44.04255319],1
11,s2,1,0.000864,11.099439,[240 225] ; [20 47],[227.2556391 237.7443609] ; [32.7443609 34.2556391],1
