,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
23,p9,1,0.0,279.996895,[28 74] ; [399  13],[84.73540856 17.26459144] ; [342.26459144  69.73540856],1
19,p2,1,0.0,69.203259,[57 49] ; [366  46],[86.55984556 19.44015444] ; [336.44015444  75.55984556],1
14,n6,1,0.0,68.478267,[61 45] ; [371  38],[88.91650485 17.08349515] ; [343.08349515  65.91650485],1
11,r3,1,0.0,63.681277,[80 26] ; [402  10],[98.63320463  7.36679537] ; [383.36679537  28.63320463],1
12,r4,1,0.0,60.257042,[67 39] ; [381  32],[91.49903661 14.50096339] ; [356.50096339  56.49903661],1
8,v4,1,0.0,45.432766,[84 21] ; [399  10],[98.66731518  6.33268482] ; [384.33268482  24.66731518],1
22,p8,1,0.0,33.242493,[27 77] ; [234 172],[53.22352941 50.77647059] ; [207.77647059 198.22352941],1
10,r2,1,0.0,28.994275,[84 21] ; [391  18],[97.03307393  7.96692607] ; [377.96692607  31.03307393],1
13,n5,1,1e-06,24.449374,[57 49] ; [318  91],[77.18446602 28.81553398] ; [297.81553398 111.18446602],1
2,a7,1,3e-06,21.633458,[56 50] ; [313 100],[75.36416185 30.63583815] ; [293.63583815 119.36416185],1
7,v2,1,4e-06,21.222798,[37 66] ; [243 154],[57.68 45.32] ; [222.32 174.68],1
20,p4,1,7e-06,20.321017,[41 65] ; [258 152],[61.42248062 44.57751938] ; [237.57751938 172.42248062],1
16,s6,1,9e-06,19.718979,[49 54] ; [288 119],[68.06078431 34.93921569] ; [268.93921569 138.06078431],1
9,r1,1,1e-05,19.564574,[64 42] ; [332  79],[81.19148936 24.80851064] ; [314.80851064  96.19148936],1
18,s8,1,2.5e-05,17.739223,[23 80] ; [185 225],[41.76218324 61.23781676] ; [166.23781676 243.76218324],1
6,v1,1,3.1e-05,17.337626,[37 69] ; [231 170],[56.03155819 49.96844181] ; [211.96844181 189.03155819],1
21,p7,1,3.4e-05,17.16888,[47 59] ; [266 135],[65.43984221 40.56015779] ; [247.56015779 153.43984221],1
17,s7,1,5.3e-05,16.354072,[26 69] ; [201 198],[43.65384615 51.34615385] ; [183.34615385 215.65384615],1
1,a6,1,9.3e-05,15.266266,[53 52] ; [291 121],[69.86460348 35.13539652] ; [274.13539652 137.86460348],1
4,d3,1,0.00011,14.954304,[55 50] ; [297 115],[71.4893617 33.5106383] ; [280.5106383 131.4893617],1
15,s2,1,0.000188,13.945618,[33 72] ; [212 197],[50.04863813 54.95136187] ; [194.95136187 214.04863813],1
3,d1,1,0.000312,12.998099,[43 63] ; [248 165],[59.43352601 46.56647399] ; [231.56647399 181.43352601],1
0,a5,1,0.000346,12.8041,[60 46] ; [307 106],[74.95568401 31.04431599] ; [292.04431599 120.95568401],1
5,d5,1,0.000573,11.863091,[71 34] ; [341  71],[83.67504836 21.32495164] ; [328.32495164  83.67504836],1
