,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
12,p10,1,0.0,65.86066,[122 118] ; [740 219],[172.54378649  67.45621351] ; [689.45621351 269.54378649],1
11,p9,1,0.0,48.40793,[140  98] ; [768 188],[180.99162479  57.00837521] ; [727.00837521 228.99162479],1
7,p2,1,0.0,34.389558,[152  95] ; [769 199],[187.23209877  59.76790123] ; [733.76790123 234.23209877],1
2,r3,1,0.0,31.511542,[196  50] ; [893  78],[220.12654067  25.87345933] ; [868.87345933 102.12654067],1
10,p8,1,0.0,28.287499,[ 74 170] ; [472 485],[110.92756037 133.07243963] ; [435.07243963 521.92756037],1
6,n6,1,0.0,26.147234,[160  85] ; [780 188],[189.85985161  55.14014839] ; [750.14014839 217.85985161],1
3,r4,1,2e-06,22.959053,[179  70] ; [831 148],[204.79641694  44.20358306] ; [805.20358306 173.79641694],1
9,p7,1,9e-06,19.659316,[109 133] ; [576 371],[139.4196804 102.5803196] ; [545.5803196 401.4196804],1
1,v4,1,4.9e-05,16.47647,[207  40] ; [895  75],[223.65981923  23.34018077] ; [878.34018077  91.65981923],1
0,b1,1,9.4e-05,15.254092,[132 117] ; [385 594],[104.83143322 144.16856678] ; [412.16856678 566.83143322],1
4,n4,1,0.000171,14.121627,[153  93] ; [724 251],[176.69287469  69.30712531] ; [700.30712531 274.69287469],1
8,p4,1,0.000258,13.356665,[105 140] ; [540 426],[130.49132948 114.50867052] ; [514.50867052 451.49132948],1
5,n5,1,0.000381,12.623518,[149  97] ; [699 269],[171.83525535  74.16474465] ; [676.16474465 291.83525535],1
