,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
1,p4,1,0.0,59.962069,[ 49 112] ; [68 14],[77.51851852 83.48148148] ; [39.48148148 42.51851852],1
0,p1,1,0.000922,10.978021,[  6 154] ; [13 69],[ 12.56198347 147.43801653] ; [ 6.43801653 75.56198347],1
