,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
22,p9,1,0.0,152.478998,[242  28] ; [30 82],[192.2513089  77.7486911] ; [79.7486911 32.2513089],1
16,p2,1,0.0,52.010591,[224  44] ; [55 60],[195.22715405  72.77284595] ; [83.77284595 31.22715405],1
20,p7,1,0.0,39.816088,[187  78] ; [41 73],[159.41952507 105.58047493] ; [68.58047493 45.41952507],1
15,s8,1,0.0,37.796901,[134 136] ; [18 95],[107.154047 162.845953] ; [44.845953 68.154047],1
21,p8,1,0.0,34.357577,[150 119] ; [26 87],[123.93717277 145.06282723] ; [52.06282723 60.93717277],1
7,r4,1,0.0,33.204088,[234  37] ; [69 46],[212.72797927  58.27202073] ; [90.27202073 24.72797927],1
10,n6,1,0.0,29.584418,[218  51] ; [61 52],[196.46858639  72.53141361] ; [82.53141361 30.46858639],1
9,n5,1,0.0,28.079523,[219  51] ; [62 51],[198.09399478  71.90600522] ; [82.90600522 30.09399478],1
6,r3,1,0.0,27.573655,[248  21] ; [82 32],[231.77545692  37.22454308] ; [98.22454308 15.77545692],1
18,p4,1,0.0,26.671805,[175  96] ; [41 73],[152.04155844 118.95844156] ; [63.95844156 50.04155844],1
4,v4,1,1e-06,25.058585,[250  19] ; [84 29],[235.19895288  33.80104712] ; [98.80104712 14.19895288],1
19,p6,1,1e-06,23.544208,[110 157] ; [17 94],[ 89.70634921 177.29365079] ; [37.29365079 73.70634921],1
14,s7,1,5e-06,20.994949,[139 118] ; [29 76],[119.27071823 137.72928177] ; [48.72928177 56.27071823],1
11,s2,1,9e-06,19.792892,[147 122] ; [34 80],[127.12532637 141.87467363] ; [53.87467363 60.12532637],1
8,n4,1,1.7e-05,18.543675,[216  55] ; [66 47],[199.015625  71.984375] ; [82.984375 30.015625],1
17,p3,1,2.1e-05,18.120143,[156 113] ; [39 75],[136.95822454 132.04177546] ; [58.04177546 55.95822454],1
13,s6,1,2.7e-05,17.629838,[175  88] ; [49 64],[156.68085106 106.31914894] ; [67.31914894 45.68085106],1
5,r1,1,2.7e-05,17.617677,[214  56] ; [66 47],[197.38903394  72.61096606] ; [82.61096606 30.38903394],1
12,s5,1,4.2e-05,16.791763,[ 96 166] ; [17 94],[ 79.37265416 182.62734584] ; [33.62734584 77.37265416],1
2,v1,1,8e-05,15.567549,[144 120] ; [37 77],[126.41269841 137.58730159] ; [54.58730159 59.41269841],1
0,a3,1,0.00018,14.028665,[210  60] ; [66 46],[195.07853403  74.92146597] ; [80.92146597 31.07853403],1
1,a5,1,0.000329,12.896594,[209  62] ; [68 47],[194.47409326  76.52590674] ; [82.52590674 32.47409326],1
3,v2,1,0.000993,10.839723,[136 123] ; [38 74],[121.47169811 137.52830189] ; [52.52830189 59.47169811],1
