,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
2,p6,1,0.0,30.406092,[209 174] ; [19 68],[185.79574468 197.20425532] ; [42.20425532 44.79574468],1
0,p3,1,2e-06,22.739556,[261 125] ; [35 52],[241.55602537 144.44397463] ; [54.44397463 32.55602537],1
3,p11,1,1e-05,19.473621,[341  46] ; [61 27],[327.52421053  59.47578947] ; [74.47578947 13.52421053],1
1,p4,1,3e-05,17.417557,[299  87] ; [49 39],[283.39240506 102.60759494] ; [64.60759494 23.39240506],1
