,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p3,1,6e-06,20.469671,[ 2 11] ; [29  5],[8.57446809 4.42553191] ; [22.42553191 11.57446809],1
2,p8,1,0.000125,14.716228,[ 3 10] ; [28  6],[8.57446809 4.42553191] ; [22.42553191 11.57446809],1
1,p6,1,0.000235,13.527834,[ 1 12] ; [23 11],[6.63829787 6.36170213] ; [17.36170213 16.63829787],1
