,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p7,1,2.3e-05,17.946517,[19 49] ; [167 129],[34.74725275 33.25274725] ; [151.25274725 144.74725275],1
1,p8,1,0.000216,13.683585,[15 57] ; [133 165],[28.8 43.2] ; [119.2 178.8],1
