,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p6,1,1.1e-05,19.357193,[247 243] ; [22 66],[228.0449827 261.9550173] ; [40.9550173 47.0449827],1
1,p8,1,0.000114,14.896827,[325 165] ; [41 50],[308.6746988 181.3253012] ; [57.3253012 33.6746988],1
2,p10,1,0.000382,12.619987,[425  63] ; [66 25],[413.83074266  74.16925734] ; [77.16925734 13.83074266],1
