,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p2,1,8.2e-05,15.517667,[72 16] ; [170 119],[56.48806366 31.51193634] ; [185.51193634 103.48806366],1
1,p4,1,0.000343,12.820461,[49 39] ; [ 99 189],[34.63829787 53.36170213] ; [113.36170213 174.63829787],1
2,p9,1,0.000846,11.136732,[75 12] ; [190  90],[62.82016349 24.17983651] ; [202.17983651  77.82016349],1
