,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p7,1,0.000289,13.140097,[33 35] ; [13 55],[23. 45.] ; [23. 45.],1
1,p8,1,0.000305,13.038965,[21 46] ; [ 5 65],[12.71532847 54.28467153] ; [13.28467153 56.71532847],1
2,p11,1,0.000506,12.095134,[43 26] ; [23 47],[32.76258993 36.23741007] ; [33.23741007 36.76258993],1
