,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
2,p10,1,0.0,136.114936,[405  21] ; [19 28],[381.86892178  44.13107822] ; [42.13107822  4.86892178],1
1,p3,1,2.5e-05,17.740636,[275 151] ; [16 32],[261.53164557 164.46835443] ; [29.46835443 18.53164557],1
0,p2,1,6.3e-05,16.015279,[398  27] ; [37 11],[390.85623679  34.14376321] ; [44.14376321  3.85623679],1
