,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
2,p9,1,3.1e-05,17.366826,[49 10] ; [29 33],[38.03305785 20.96694215] ; [39.96694215 22.03305785],1
0,s2,1,0.000144,14.447286,[38 22] ; [18 44],[27.54098361 32.45901639] ; [28.45901639 33.54098361],1
1,p3,1,0.000685,11.529052,[28 31] ; [12 52],[19.18699187 39.81300813] ; [20.81300813 43.18699187],1
