,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
7,s8,1,0.0,27.994963,[12  1] ; [25 89],[3.78740157 9.21259843] ; [33.21259843 80.78740157],1
10,p5,1,1e-06,23.834008,[5 7] ; [  4 110],[ 0.85714286 11.14285714] ; [  8.14285714 105.85714286],1
11,p12,1,3e-06,21.618993,[4 9] ; [  2 111],[ 0.61904762 12.38095238] ; [  5.38095238 107.61904762],1
0,b2,1,7.7e-05,15.624881,[12  1] ; [26 51],[5.48888889 7.51111111] ; [32.51111111 44.48888889],1
1,b3,1,7.7e-05,15.624881,[12  1] ; [26 51],[5.48888889 7.51111111] ; [32.51111111 44.48888889],1
8,p3,1,0.000105,15.050122,[10  3] ; [28 85],[3.92063492 9.07936508] ; [34.07936508 78.92063492],1
3,v3,1,0.000153,14.339447,[8 1] ; [30 79],[2.89830508 6.10169492] ; [35.10169492 73.89830508],1
4,s2,1,0.000159,14.262832,[11  2] ; [35 77],[4.784 8.216] ; [41.216 70.784],1
6,s7,1,0.000178,14.052722,[11  2] ; [35 76],[4.82258065 8.17741935] ; [41.17741935 69.82258065],1
2,a2,1,0.00045,12.312129,[8 5] ; [21 93],[ 2.96850394 10.03149606] ; [26.03149606 87.96850394],1
9,p4,1,0.000802,11.236483,[11  2] ; [41 72],[5.36507937 7.63492063] ; [46.63492063 66.36507937],1
5,s6,1,0.00093,10.962241,[12  1] ; [50 64],[6.34645669 6.65354331] ; [55.65354331 58.34645669],1
