,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
10,p10,1,0.0,56.660012,[62 50] ; [413  64],[90.32258065 21.67741935] ; [384.67741935  92.32258065],1
9,p9,1,0.0,43.74778,[74 38] ; [431  46],[96.02716469 15.97283531] ; [408.97283531  68.02716469],1
6,p2,1,0.0,36.871811,[74 43] ; [418  62],[96.42211055 20.57788945] ; [395.57788945  84.42211055],1
5,n6,1,0.0,33.920586,[78 37] ; [427  51],[97.93423272 17.06576728] ; [407.06576728  70.93423272],1
1,r3,1,0.0,26.609148,[98 17] ; [468  14],[109.02847571   5.97152429] ; [456.97152429  25.02847571],1
0,v4,1,5.3e-05,16.347186,[100  16] ; [461  19],[109.18791946   6.81208054] ; [451.81208054  28.18791946],1
2,r4,1,9.8e-05,15.180973,[91 26] ; [440  45],[103.20099668  13.79900332] ; [427.79900332  57.20099668],1
3,n4,1,0.000151,14.356519,[68 46] ; [372 111],[84.0201005 29.9798995] ; [355.9798995 127.0201005],1
4,n5,1,0.000328,12.900711,[67 48] ; [358 119],[82.55912162 32.44087838] ; [342.44087838 134.55912162],1
7,p4,1,0.000446,12.330951,[47 68] ; [282 196],[63.80269815 51.19730185] ; [265.19730185 212.80269815],1
8,p7,1,0.000483,12.178511,[51 62] ; [294 172],[67.33160622 45.66839378] ; [277.66839378 188.33160622],1
