,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p10,1,0.0,66.043365,[10 59] ; [65 15],[34.73154362 34.26845638] ; [40.26845638 39.73154362],1
1,p11,1,0.0001,15.130657,[25 45] ; [54 26],[36.86666667 33.13333333] ; [42.13333333 37.86666667],1
