,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
17,p9,1,0.0,97.327329,[207  45] ; [28 74],[167.28813559  84.71186441] ; [67.71186441 34.28813559],1
16,p8,1,0.0,33.244223,[149 101] ; [27 77],[124.29378531 125.70621469] ; [51.70621469 52.29378531],1
12,p2,1,0.0,32.108684,[208  44] ; [57 49],[186.53631285  65.46368715] ; [78.46368715 27.53631285],1
5,r3,1,0.0,27.383747,[240  14] ; [80 26],[225.77777778  28.22222222] ; [94.22222222 11.77777778],1
6,r4,1,0.0,26.877331,[223  33] ; [67 39],[205.08287293  50.91712707] ; [84.91712707 21.08287293],1
15,p7,1,1e-06,24.648841,[180  70] ; [47 59],[159.41011236  90.58988764] ; [67.58988764 38.41011236],1
8,n5,1,1e-06,24.129826,[203  53] ; [57 49],[183.86740331  72.13259669] ; [76.13259669 29.86740331],1
14,p4,1,1.2e-05,19.160357,[162  92] ; [41 65],[143.22777778 110.77222222] ; [59.77222222 46.22777778],1
9,n6,1,1.5e-05,18.732898,[204  52] ; [61 45],[187.40331492  68.59668508] ; [77.59668508 28.40331492],1
11,s8,1,2.1e-05,18.085392,[118 135] ; [23 80],[100.20505618 152.79494382] ; [40.79494382 62.20505618],1
3,v4,1,0.000103,15.085195,[238  16] ; [84 21],[227.82172702  26.17827298] ; [94.17827298 10.82172702],1
1,a5,1,0.000103,15.07416,[197  59] ; [60 46],[181.74585635  74.25414365] ; [75.25414365 30.74585635],1
0,a3,1,0.000304,13.043217,[189  66] ; [58 48],[174.47368421  80.52631579] ; [72.52631579 33.47368421],1
4,r1,1,0.000425,12.420101,[200  55] ; [64 42],[186.48199446  68.51800554] ; [77.51800554 28.48199446],1
13,p3,1,0.000551,11.934113,[146 107] ; [40 66],[131.08077994 121.91922006] ; [54.91922006 51.08077994],1
10,s7,1,0.000649,11.630748,[116 127] ; [26 69],[102.0887574 140.9112426] ; [39.9112426 55.0887574],1
2,v1,1,0.000672,11.564139,[136 113] ; [37 69],[121.34366197 127.65633803] ; [51.65633803 54.34366197],1
7,n4,1,0.000967,10.88943,[208  48] ; [69 37],[195.88950276  60.11049724] ; [81.11049724 24.88950276],1
