,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
13,p9,1,0.0,73.654686,[32 83] ; [271 104],[71.1122449 43.8877551] ; [231.8877551 143.1122449],1
8,p2,1,0.0,29.628303,[57 61] ; [284  95],[80.96177062 37.03822938] ; [260.03822938 118.96177062],1
11,p7,1,0.0,26.745186,[42 75] ; [237 139],[66.21298174 50.78701826] ; [212.78701826 163.21298174],1
7,s8,1,1e-06,23.318833,[20 96] ; [159 221],[41.86290323 74.13709677] ; [137.13709677 242.86290323],1
12,p8,1,2.5e-05,17.748358,[29 87] ; [177 199],[48.56910569 67.43089431] ; [157.43089431 218.56910569],1
2,r4,1,2.7e-05,17.617896,[72 46] ; [308  77],[89.14512922 28.85487078] ; [290.85487078  94.14512922],1
0,v4,1,7.3e-05,15.736334,[87 29] ; [342  40],[99.92771084 16.07228916] ; [329.07228916  52.92771084],1
1,r3,1,9.6e-05,15.218068,[85 32] ; [335  47],[98.47695391 18.52304609] ; [321.52304609  60.47695391],1
5,n6,1,0.000124,14.726505,[64 52] ; [283 100],[80.66533066 35.33466934] ; [266.33466934 116.66533066],1
10,p6,1,0.000134,14.5865,[20 94] ; [137 237],[36.67622951 77.32377049] ; [120.32377049 253.67622951],1
9,p4,1,0.000247,13.435315,[44 73] ; [217 164],[61.31927711 55.68072289] ; [199.68072289 181.31927711],1
4,n5,1,0.000365,12.705373,[65 51] ; [282 102],[80.504 35.496] ; [266.496 117.504],1
6,s5,1,0.000387,12.595947,[17 97] ; [118 251],[31.86335404 82.13664596] ; [103.13664596 265.86335404],1
3,n4,1,0.000904,11.015117,[69 47] ; [290  95],[83.12175649 32.87824351] ; [275.87824351 109.12175649],1
