,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
3,p12,1,0.0,34.914096,[  7 176] ; [24 59],[ 21.32706767 161.67293233] ; [ 9.67293233 73.32706767],1
0,p1,1,0.0,28.606952,[ 12 171] ; [26 57],[ 26.14285714 156.85714286] ; [11.85714286 71.14285714],1
2,p8,1,1e-06,24.744169,[91 89] ; [68 14],[109.23664122  70.76335878] ; [49.76335878 32.23664122],1
1,p6,1,4.6e-05,16.588085,[ 71 109] ; [54 27],[86.20689655 93.79310345] ; [38.79310345 42.20689655],1
