,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
15,p9,1,0.0,142.760801,[44 67] ; [631  91],[89.94597839 21.05402161] ; [585.05402161 136.94597839],1
10,p2,1,0.0,29.256403,[74 40] ; [620 105],[94.29797378 19.70202622] ; [599.70202622 125.29797378],1
13,p7,1,0.0,27.866414,[45 67] ; [469 240],[70.11936663 41.88063337] ; [443.88063337 265.11936663],1
11,p3,1,0.0,25.268872,[28 85] ; [365 363],[52.80499405 60.19500595] ; [340.19500595 387.80499405],1
14,p8,1,1e-06,23.659967,[35 77] ; [401 316],[58.90470446 53.09529554] ; [377.09529554 339.90470446],1
12,p4,1,1e-06,23.530082,[41 72] ; [439 286],[64.72553699 48.27446301] ; [415.27446301 309.72553699],1
1,v4,1,1e-06,23.41142,[94 19] ; [692  35],[105.73571429   7.26428571] ; [680.26428571  46.73571429],1
5,n5,1,3e-06,21.872124,[62 50] ; [554 172],[82.32935561 29.67064439] ; [533.67064439 192.32935561],1
6,n6,1,4e-06,21.106186,[76 35] ; [624 103],[92.72076372 18.27923628] ; [607.27923628 119.72076372],1
8,s6,1,9e-06,19.66115,[50 64] ; [469 247],[71.28433735 42.71566265] ; [447.71566265 268.28433735],1
9,s8,1,1.2e-05,19.186149,[25 89] ; [317 410],[46.35909631 67.64090369] ; [295.64090369 431.35909631],1
4,n4,1,1.8e-05,18.384726,[67 45] ; [574 158],[85.06161137 26.93838863] ; [555.93838863 176.06161137],1
2,r3,1,1.9e-05,18.258157,[97 15] ; [701  28],[106.27348395   5.72651605] ; [691.72651605  37.27348395],1
3,r4,1,8.2e-05,15.507408,[87 27] ; [656  78],[99.88443396 14.11556604] ; [643.11556604  90.88443396],1
7,s2,1,0.000494,12.138092,[35 77] ; [354 370],[52.11483254 59.88516746] ; [336.88516746 387.11483254],1
0,v1,1,0.000742,11.381618,[41 70] ; [386 327],[57.52063107 53.47936893] ; [369.47936893 343.52063107],1
