,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
1,p10,1,0.0,52.560599,[47 18] ; [ 5 55],[27.04 37.96] ; [24.96 35.04],1
0,p2,1,4e-06,21.434941,[46 19] ; [18 43],[33.01587302 31.98412698] ; [30.98412698 30.01587302],1
