,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
2,p8,1,1e-06,25.149048,[ 29 114] ; [54 53],[47.476 95.524] ; [35.524 71.476],1
1,p3,1,5.8e-05,16.180046,[ 14 129] ; [32 76],[ 26.20717131 116.79282869] ; [19.79282869 88.20717131],1
0,p2,1,0.000497,12.126359,[93 51] ; [91 17],[105.14285714  38.85714286] ; [78.85714286 29.14285714],1
