,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p7,1,1e-06,23.900452,[273  58] ; [19 20],[261.22162162  69.77837838] ; [30.77837838  8.22162162],1
2,p9,1,3.1e-05,17.345481,[316  17] ; [30  9],[309.72580645  23.27419355] ; [36.27419355  2.72580645],1
1,p8,1,3.5e-05,17.134974,[243  89] ; [16 23],[231.77358491 100.22641509] ; [27.22641509 11.77358491],1
