,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
19,p9,1,0.0,248.088087,[44 67] ; [693  45],[96.35689046 14.64310954] ; [640.64310954  97.35689046],1
20,p11,1,0.0,46.018406,[64 50] ; [618 122],[91.03981265 22.96018735] ; [590.96018735 149.03981265],1
17,p7,1,0.0,29.206373,[45 67] ; [480 240],[70.67307692 41.32692308] ; [454.32692308 265.67307692],1
13,p2,1,0.0,29.14331,[74 40] ; [629 107],[94.28470588 19.71529412] ; [608.71529412 127.28470588],1
14,p3,1,0.0,28.155035,[28 85] ; [380 357],[54.24 58.76] ; [353.76 383.24],1
10,s6,1,0.0,26.357111,[50 64] ; [496 228],[74.27684964 39.72315036] ; [471.72315036 252.27684964],1
15,p4,1,0.0,26.00025,[41 72] ; [454 282],[65.88339223 47.11660777] ; [429.11660777 306.88339223],1
2,v4,1,0.0,25.786074,[94 19] ; [701  33],[106.06257379   6.93742621] ; [688.93742621  45.06257379],1
6,n5,1,0.0,25.665285,[62 50] ; [571 164],[83.70247934 28.29752066] ; [549.29752066 185.70247934],1
12,s8,1,1e-06,23.722322,[25 89] ; [340 396],[48.95294118 65.04705882] ; [316.04705882 419.95294118],1
18,p8,1,2e-06,22.707401,[35 77] ; [405 326],[58.45788849 53.54211151] ; [381.54211151 349.45788849],1
7,n6,1,3e-06,22.073769,[76 35] ; [632 102],[93.0035503 17.9964497] ; [614.9964497 119.0035503],1
8,s2,1,2.3e-05,17.925209,[35 77] ; [387 347],[55.86761229 56.13238771] ; [366.13238771 367.86761229],1
5,n4,1,3.1e-05,17.368699,[67 45] ; [577 163],[84.657277 27.342723] ; [559.342723 180.657277],1
4,r4,1,4.2e-05,16.758302,[87 27] ; [664  76],[100.25058548  13.74941452] ; [650.74941452  89.25058548],1
11,s7,1,0.000161,14.234191,[35 76] ; [359 348],[53.46454768 57.53545232] ; [340.53545232 366.46454768],1
9,s5,1,0.000349,12.785958,[21 90] ; [258 455],[37.58373786 73.41626214] ; [241.41626214 471.58373786],1
1,v1,1,0.000353,12.767351,[41 70] ; [398 324],[58.49819928 52.50180072] ; [380.50180072 341.49819928],1
3,r3,1,0.000423,12.429673,[97 15] ; [700  36],[105.26415094   6.73584906] ; [691.73584906  44.26415094],1
0,a5,1,0.000489,12.156347,[67 47] ; [551 189],[82.49648712 31.50351288] ; [535.50351288 204.49648712],1
16,p6,1,0.000522,12.035335,[23 88] ; [275 456],[39.28503563 71.71496437] ; [258.71496437 472.28503563],1
