,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
3,p8,1,5e-06,20.998394,[83 60] ; [94 17],[99.6496063 43.3503937] ; [77.3503937 33.6496063],1
1,p5,1,1.8e-05,18.43703,[ 13 128] ; [34 78],[ 26.19367589 114.80632411] ; [20.80632411 91.19367589],1
2,p7,1,8.4e-05,15.473518,[95 47] ; [97 13],[108.19047619  33.80952381] ; [83.80952381 26.19047619],1
0,p4,1,0.000863,11.100115,[109  34] ; [103   9],[118.88627451  24.11372549] ; [93.11372549 18.88627451],1
