,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p9,1,0.0,26.483978,[417  79] ; [218  99],[387.40467405 108.59532595] ; [247.59532595  69.40467405],1
2,p11,1,1e-06,24.236079,[398 106] ; [204 118],[367.3220339 136.6779661] ; [234.6779661  87.3220339],1
1,p10,1,0.000885,11.054045,[391 107] ; [218 102],[370.7603912 127.2396088] ; [238.2396088  81.7603912],1
