,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
12,p10,1,0.0,58.885717,[618 104] ; [62 50],[588.68105516 133.31894484] ; [91.31894484 20.68105516],1
6,p2,1,0.0,34.485057,[620 105] ; [74 43],[597.56532067 127.43467933] ; [96.43467933 20.56532067],1
11,p9,1,0.0,33.721589,[631  91] ; [74 38],[610.32374101 111.67625899] ; [94.67625899 17.32374101],1
1,r3,1,1e-06,23.560287,[701  28] ; [98 17],[690.13151659  38.86848341] ; [108.86848341   6.13151659],1
5,n6,1,1e-06,23.22301,[624 103] ; [78 37],[606.12114014 120.87885986] ; [95.87885986 19.12114014],1
3,n4,1,1.3e-05,18.983345,[574 158] ; [68 46],[555.4893617 176.5106383] ; [86.5106383 27.4893617],1
9,p7,1,1.7e-05,18.523279,[469 240] ; [51 62],[448.51581509 260.48418491] ; [71.48418491 41.51581509],1
4,n5,1,4.3e-05,16.740117,[554 172] ; [67 48],[536.08323424 189.91676576] ; [84.91676576 30.08323424],1
8,p4,1,7.2e-05,15.769614,[439 286] ; [47 68],[419.46428571 305.53571429] ; [66.53571429 48.46428571],1
7,p3,1,0.00013,14.64136,[365 363] ; [36 80],[345.88625592 382.11374408] ; [55.11374408 60.88625592],1
0,v4,1,0.000165,14.189302,[692  35] ; [100  16],[683.01779359  43.98220641] ; [108.98220641   7.01779359],1
10,p8,1,0.000216,13.682507,[401 316] ; [43 72],[382.62980769 334.37019231] ; [61.37019231 53.62980769],1
2,r4,1,0.000376,12.648468,[656  78] ; [91 26],[644.29847239  89.70152761] ; [102.70152761  14.29847239],1
