,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p4,1,0.0,29.621122,[ 40 113] ; [45 25],[58.31838565 94.68161435] ; [26.68161435 43.31838565],1
1,p5,1,0.000701,11.486676,[  2 151] ; [ 8 62],[  6.86098655 146.13901345] ; [ 3.13901345 66.86098655],1
2,p7,1,0.000723,11.429975,[52 99] ; [41 29],[63.54298643 87.45701357] ; [29.45701357 40.54298643],1
