,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
16,p9,1,0.0,163.317975,[399  13] ; [64 59],[356.55327103  55.44672897] ; [106.44672897  16.55327103],1
7,r3,1,0.0,72.677686,[402  10] ; [95 33],[379.19259259  32.80740741] ; [117.80740741  10.19259259],1
11,n6,1,0.0,58.452392,[371  38] ; [79 48],[343.37686567  65.62313433] ; [106.62313433  20.37686567],1
8,r4,1,0.0,56.655445,[381  32] ; [85 44],[355.08856089  57.91143911] ; [110.91143911  18.08856089],1
12,p2,1,0.0,55.292342,[366  46] ; [76 51],[337.85528757  74.14471243] ; [104.14471243  22.85528757],1
15,p8,1,0.0,48.247479,[234 172] ; [28 98],[199.94736842 206.05263158] ; [62.05263158 63.94736842],1
4,v4,1,0.0,43.702162,[399  10] ; [104  24],[383.10428305  25.89571695] ; [119.89571695   8.10428305],1
3,v2,1,2e-06,22.802646,[243 154] ; [47 80],[219.71374046 177.28625954] ; [70.28625954 56.71374046],1
6,r2,1,5e-06,20.862081,[391  18] ; [107  21],[379.29608939  29.70391061] ; [118.70391061   9.29608939],1
14,p7,1,2.2e-05,17.984399,[266 135] ; [57 69],[245.77419355 155.22580645] ; [77.22580645 48.77419355],1
0,a6,1,3.5e-05,17.129559,[291 121] ; [65 63],[271.61481481 140.38518519] ; [84.38518519 43.61481481],1
13,p4,1,8.9e-05,15.351687,[258 152] ; [55 72],[238.97579143 171.02420857] ; [74.02420857 52.97579143],1
10,n5,1,0.000311,13.000406,[318  91] ; [79 49],[302.37057728 106.62942272] ; [94.62942272 33.37057728],1
5,r1,1,0.000436,12.371013,[332  79] ; [85 44],[317.38333333  93.61666667] ; [99.61666667 29.38333333],1
2,v1,1,0.000614,11.733114,[231 170] ; [52 77],[214.11886792 186.88113208] ; [68.88113208 60.11886792],1
9,n4,1,0.000664,11.586198,[324  89] ; [82 47],[309.36900369 103.63099631] ; [96.63099631 32.36900369],1
1,d3,1,0.000883,11.057626,[297 115] ; [71 55],[281.81412639 130.18587361] ; [86.18587361 39.81412639],1
