,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p1,1,0.0,47.944321,[ 30 426] ; [29 65],[ 48.91636364 407.08363636] ; [10.08363636 83.91636364],1
3,p12,1,0.0,36.488593,[ 27 431] ; [24 69],[ 42.39201452 415.60798548] ; [ 8.60798548 84.39201452],1
2,p8,1,9.7e-05,15.187291,[275 180] ; [76 17],[291.43248175 163.56751825] ; [59.56751825 33.43248175],1
1,p3,1,0.000575,11.853665,[291 167] ; [77 17],[305.33333333 152.66666667] ; [62.66666667 31.33333333],1
