,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
1,p10,1,0.0,30.034246,[23 26] ; [98 14],[36.82608696 12.17391304] ; [84.17391304 27.82608696],1
0,p9,1,0.000199,13.843161,[31 18] ; [99 13],[39.56521739  9.43478261] ; [90.43478261 21.56521739],1
