,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
25,p9,1,0.0,309.102847,[451  17] ; [30 82],[388.11724138  79.88275862] ; [92.88275862 19.11724138],1
20,p2,1,0.0,83.109167,[405  63] ; [55 60],[369.26243568  98.73756432] ; [90.73756432 24.26243568],1
14,n6,1,0.0,76.261156,[414  51] ; [61 52],[382.1366782  82.8633218] ; [92.8633218 20.1366782],1
10,r3,1,0.0,76.154846,[452  15] ; [82 32],[429.22203098  37.77796902] ; [104.77796902   9.22203098],1
11,r4,1,0.0,74.551432,[430  39] ; [69 46],[400.7380137  68.2619863] ; [98.2619863 16.7380137],1
7,v4,1,0.0,67.746533,[451  14] ; [84 29],[430.40657439  34.59342561] ; [104.59342561   8.40657439],1
24,p8,1,0.0,37.641544,[255 207] ; [26 87],[225.7773913 236.2226087] ; [55.2226087 57.7773913],1
9,r2,1,0.0,31.507225,[445  18] ; [91 21],[431.59652174  31.40347826] ; [104.40347826   7.59652174],1
19,s8,1,0.0,30.656829,[206 260] ; [18 95],[180.28324698 285.71675302] ; [43.71675302 69.28324698],1
23,p7,1,0.0,30.394083,[293 162] ; [41 73],[267.08260105 187.91739895] ; [66.91739895 47.08260105],1
17,s6,1,0.0,27.335484,[321 140] ; [49 64],[297.16027875 163.83972125] ; [72.83972125 40.16027875],1
6,v2,1,1e-06,25.236623,[272 179] ; [38 74],[248.330373 202.669627] ; [61.669627 50.330373],1
8,r1,1,1e-06,24.523094,[376  91] ; [66 47],[355.8862069 111.1137931] ; [86.1137931 26.8862069],1
21,p4,1,4e-06,21.393313,[279 186] ; [41 73],[256.99481865 208.00518135] ; [63.00518135 50.99481865],1
13,n5,1,1.1e-05,19.411681,[352 113] ; [62 51],[333.06228374 131.93771626] ; [80.93771626 32.06228374],1
5,v1,1,1.1e-05,19.324684,[254 204] ; [37 77],[233.0034965 224.9965035] ; [57.9965035 56.0034965],1
15,s2,1,3e-05,17.435497,[240 225] ; [34 80],[220.05181347 244.94818653] ; [53.94818653 60.05181347],1
16,s5,1,3e-05,17.423021,[162 289] ; [17 94],[143.64590747 307.35409253] ; [35.35409253 75.64590747],1
22,p6,1,3.8e-05,16.969994,[165 299] ; [17 94],[146.86608696 317.13391304] ; [35.13391304 75.86608696],1
12,n4,1,6.1e-05,16.062533,[361 108] ; [66 47],[344.09450172 124.90549828] ; [82.90549828 30.09450172],1
18,s7,1,7.9e-05,15.570499,[220 230] ; [29 76],[201.89189189 248.10810811] ; [47.10810811 57.89189189],1
4,d5,1,0.000517,12.052097,[388  80] ; [78 36],[374.72164948  93.27835052] ; [91.27835052 22.72164948],1
0,a1,1,0.000537,11.984095,[ 12 457] ; [ 11 104],[ 18.47089041 450.52910959] ; [  4.52910959 110.47089041],1
2,d1,1,0.00058,11.838118,[283 186] ; [49 66],[266.62328767 202.37671233] ; [65.37671233 49.62328767],1
1,a7,1,0.000628,11.691079,[358 111] ; [69 45],[343.50428816 125.49571184] ; [83.49571184 30.50428816],1
3,d4,1,0.00071,11.462843,[389  79] ; [78 35],[376.17211704  91.82788296] ; [90.82788296 22.17211704],1
