,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
2,p9,1,0.0,26.712039,[49 10] ; [41 59],[33.39622642 25.60377358] ; [56.60377358 43.39622642],1
0,s2,1,0.000207,13.77,[38 22] ; [34 68],[26.66666667 33.33333333] ; [45.33333333 56.66666667],1
1,s7,1,0.000223,13.628482,[35 21] ; [32 68],[24.05128205 31.94871795] ; [42.94871795 57.05128205],1
