,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
25,p9,1,0.0,309.102847,[30 82] ; [451  17],[92.88275862 19.11724138] ; [388.11724138  79.88275862],1
20,p2,1,0.0,83.109167,[55 60] ; [405  63],[90.73756432 24.26243568] ; [369.26243568  98.73756432],1
14,n6,1,0.0,76.261156,[61 52] ; [414  51],[92.8633218 20.1366782] ; [382.1366782  82.8633218],1
10,r3,1,0.0,76.154846,[82 32] ; [452  15],[104.77796902   9.22203098] ; [429.22203098  37.77796902],1
11,r4,1,0.0,74.551432,[69 46] ; [430  39],[98.2619863 16.7380137] ; [400.7380137  68.2619863],1
7,v4,1,0.0,67.746533,[84 29] ; [451  14],[104.59342561   8.40657439] ; [430.40657439  34.59342561],1
24,p8,1,0.0,37.641544,[26 87] ; [255 207],[55.2226087 57.7773913] ; [225.7773913 236.2226087],1
9,r2,1,0.0,31.507225,[91 21] ; [445  18],[104.40347826   7.59652174] ; [431.59652174  31.40347826],1
19,s8,1,0.0,30.656829,[18 95] ; [206 260],[43.71675302 69.28324698] ; [180.28324698 285.71675302],1
23,p7,1,0.0,30.394083,[41 73] ; [293 162],[66.91739895 47.08260105] ; [267.08260105 187.91739895],1
17,s6,1,0.0,27.335484,[49 64] ; [321 140],[72.83972125 40.16027875] ; [297.16027875 163.83972125],1
6,v2,1,1e-06,25.236623,[38 74] ; [272 179],[61.669627 50.330373] ; [248.330373 202.669627],1
8,r1,1,1e-06,24.523094,[66 47] ; [376  91],[86.1137931 26.8862069] ; [355.8862069 111.1137931],1
21,p4,1,4e-06,21.393313,[41 73] ; [279 186],[63.00518135 50.99481865] ; [256.99481865 208.00518135],1
13,n5,1,1.1e-05,19.411681,[62 51] ; [352 113],[80.93771626 32.06228374] ; [333.06228374 131.93771626],1
5,v1,1,1.1e-05,19.324684,[37 77] ; [254 204],[57.9965035 56.0034965] ; [233.0034965 224.9965035],1
15,s2,1,3e-05,17.435497,[34 80] ; [240 225],[53.94818653 60.05181347] ; [220.05181347 244.94818653],1
16,s5,1,3e-05,17.423021,[17 94] ; [162 289],[35.35409253 75.64590747] ; [143.64590747 307.35409253],1
22,p6,1,3.8e-05,16.969994,[17 94] ; [165 299],[35.13391304 75.86608696] ; [146.86608696 317.13391304],1
12,n4,1,6.1e-05,16.062533,[66 47] ; [361 108],[82.90549828 30.09450172] ; [344.09450172 124.90549828],1
18,s7,1,7.9e-05,15.570499,[29 76] ; [220 230],[47.10810811 57.89189189] ; [201.89189189 248.10810811],1
4,d5,1,0.000517,12.052097,[78 36] ; [388  80],[91.27835052 22.72164948] ; [374.72164948  93.27835052],1
0,a1,1,0.000537,11.984095,[ 11 104] ; [ 12 457],[  4.52910959 110.47089041] ; [ 18.47089041 450.52910959],1
2,d1,1,0.00058,11.838118,[49 66] ; [283 186],[65.37671233 49.62328767] ; [266.62328767 202.37671233],1
1,a7,1,0.000628,11.691079,[69 45] ; [358 111],[83.49571184 30.50428816] ; [343.50428816 125.49571184],1
3,d4,1,0.00071,11.462843,[78 35] ; [389  79],[90.82788296 22.17211704] ; [376.17211704  91.82788296],1
