,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
2,p8,1,4.5e-05,16.642865,[21 31] ; [ 18 117],[10.84491979 41.15508021] ; [ 28.15508021 106.84491979],1
0,p6,1,0.000363,12.712265,[18 34] ; [ 16 117],[ 9.55675676 42.44324324] ; [ 24.44324324 108.55675676],1
1,p7,1,0.000687,11.524398,[27 25] ; [34 98],[17.23913043 34.76086957] ; [43.76086957 88.23913043],1
