,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,r3,1,0.000282,13.183124,[97  9] ; [85 32],[86.51121076 19.48878924] ; [95.48878924 21.51121076],1
2,p2,1,0.000536,11.987769,[76 31] ; [57 61],[63.24888889 43.75111111] ; [69.75111111 48.24888889],1
1,r4,1,0.000842,11.146382,[87 20] ; [72 46],[75.61333333 31.38666667] ; [83.38666667 34.61333333],1
