,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
9,s8,1,0.0,26.828941,[12  1] ; [23 80],[3.92241379 9.07758621] ; [31.07758621 71.92241379],1
11,p12,1,7e-06,20.175959,[4 9] ; [  2 104],[ 0.65546218 12.34453782] ; [  5.34453782 100.65546218],1
0,b2,1,4e-05,16.850959,[12  1] ; [19 43],[5.37333333 7.62666667] ; [25.62666667 36.37333333],1
1,b3,1,4e-05,16.850959,[12  1] ; [19 43],[5.37333333 7.62666667] ; [25.62666667 36.37333333],1
8,s7,1,4.5e-05,16.639319,[11  2] ; [26 69],[4.4537037 8.5462963] ; [32.5462963 62.4537037],1
10,p5,1,5.3e-05,16.3423,[5 7] ; [ 6 99],[ 1.12820513 10.87179487] ; [ 9.87179487 95.12820513],1
5,v3,1,0.00016,14.245403,[8 1] ; [28 74],[2.91891892 6.08108108] ; [33.08108108 68.91891892],1
6,s2,1,0.000183,13.993882,[11  2] ; [33 72],[4.84745763 8.15254237] ; [39.15254237 65.84745763],1
7,s3,1,0.000271,13.262609,[12  1] ; [41 64],[5.83898305 7.16101695] ; [47.16101695 57.83898305],1
3,d1,1,0.000413,12.471944,[12  1] ; [43 63],[6.00840336 6.99159664] ; [48.99159664 57.00840336],1
2,a2,1,0.000619,11.717986,[8 5] ; [20 86],[3.05882353 9.94117647] ; [24.94117647 81.05882353],1
4,v1,1,0.000663,11.591028,[9 1] ; [37 69],[3.96551724 6.03448276] ; [42.03448276 63.96551724],1
