,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
19,p9,1,0.0,248.088087,[693  45] ; [44 67],[640.64310954  97.35689046] ; [96.35689046 14.64310954],1
20,p11,1,0.0,46.018406,[618 122] ; [64 50],[590.96018735 149.03981265] ; [91.03981265 22.96018735],1
17,p7,1,0.0,29.206373,[480 240] ; [45 67],[454.32692308 265.67307692] ; [70.67307692 41.32692308],1
13,p2,1,0.0,29.14331,[629 107] ; [74 40],[608.71529412 127.28470588] ; [94.28470588 19.71529412],1
14,p3,1,0.0,28.155035,[380 357] ; [28 85],[353.76 383.24] ; [54.24 58.76],1
10,s6,1,0.0,26.357111,[496 228] ; [50 64],[471.72315036 252.27684964] ; [74.27684964 39.72315036],1
15,p4,1,0.0,26.00025,[454 282] ; [41 72],[429.11660777 306.88339223] ; [65.88339223 47.11660777],1
2,v4,1,0.0,25.786074,[701  33] ; [94 19],[688.93742621  45.06257379] ; [106.06257379   6.93742621],1
6,n5,1,0.0,25.665285,[571 164] ; [62 50],[549.29752066 185.70247934] ; [83.70247934 28.29752066],1
12,s8,1,1e-06,23.722322,[340 396] ; [25 89],[316.04705882 419.95294118] ; [48.95294118 65.04705882],1
18,p8,1,2e-06,22.707401,[405 326] ; [35 77],[381.54211151 349.45788849] ; [58.45788849 53.54211151],1
7,n6,1,3e-06,22.073769,[632 102] ; [76 35],[614.9964497 119.0035503] ; [93.0035503 17.9964497],1
8,s2,1,2.3e-05,17.925209,[387 347] ; [35 77],[366.13238771 367.86761229] ; [55.86761229 56.13238771],1
5,n4,1,3.1e-05,17.368699,[577 163] ; [67 45],[559.342723 180.657277] ; [84.657277 27.342723],1
4,r4,1,4.2e-05,16.758302,[664  76] ; [87 27],[650.74941452  89.25058548] ; [100.25058548  13.74941452],1
11,s7,1,0.000161,14.234191,[359 348] ; [35 76],[340.53545232 366.46454768] ; [53.46454768 57.53545232],1
9,s5,1,0.000349,12.785958,[258 455] ; [21 90],[241.41626214 471.58373786] ; [37.58373786 73.41626214],1
1,v1,1,0.000353,12.767351,[398 324] ; [41 70],[380.50180072 341.49819928] ; [58.49819928 52.50180072],1
3,r3,1,0.000423,12.429673,[700  36] ; [97 15],[691.73584906  44.26415094] ; [105.26415094   6.73584906],1
0,a5,1,0.000489,12.156347,[551 189] ; [67 47],[535.50351288 204.49648712] ; [82.49648712 31.50351288],1
16,p6,1,0.000522,12.035335,[275 456] ; [23 88],[258.71496437 472.28503563] ; [39.28503563 71.71496437],1
